Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.17.112.33,13.107.136.9,61.206.169.146,13.107.136.9,id_285,,,sharepoint-online,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,47086,1,61155,443,26508,443,0x400053,tcp,allow,11856,4319,7537,25,2021/6/21 9:59,0,computer-and-internet-info,0,33088515060,0x0,172.16.0.0-172.31.255.255,United States,0,11,14,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.17.112.222,142.250.196.142,61.206.169.146,142.250.196.142,trust6_GoogleMeet,,,quic,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,91958,1,55283,443,14683,443,0x400050,udp,allow,9598,4291,5307,32,2021/6/21 9:57,33,any,0,33088515059,0x0,172.16.0.0-172.31.255.255,United States,0,15,17,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.201.39,142.250.196.138,61.206.169.146,142.250.196.138,trust3_GoogleMeet,,,google-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,34199,1,51789,443,7038,443,0x400053,tcp,allow,11400,4640,6760,41,2021/6/21 9:59,3,computer-and-internet-info,0,33088515058,0x0,172.16.0.0-172.31.255.255,United States,0,20,21,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.26.177,117.18.232.240,61.206.169.146,117.18.232.240,trust3_GoogleMeet,,,ms-update,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,195933,1,50811,80,19720,80,0x40001c,tcp,allow,1171,641,530,10,2021/6/21 9:58,60,computer-and-internet-info,0,33088515057,0x0,192.168.0.0-192.168.255.255,Australia,0,6,4,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.17.102.136,23.217.124.223,61.206.169.146,23.217.124.223,id_285,,,ssl,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,120953,1,62038,443,48783,443,0x40001c,tcp,allow,12462,1378,11084,28,2021/6/21 9:59,0,computer-and-internet-info,0,33088515056,0x0,172.16.0.0-172.31.255.255,Japan,0,12,16,tcp-rst-from-client,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.18.226,40.125.122.151,61.206.169.146,40.125.122.151,trust3_GoogleMeet,,,ssl,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,113674,1,49688,443,34028,443,0x400053,tcp,allow,11176,6220,4956,32,2021/6/21 9:59,1,computer-and-internet-info,0,33088515055,0x0,192.168.0.0-192.168.255.255,United States,0,17,15,tcp-rst-from-client,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.205.13,13.225.177.37,61.206.169.146,13.225.177.37,trust3_GoogleMeet,,,ssl,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,187271,1,59255,443,9814,443,0x400053,tcp,allow,305686,11901,293785,420,2021/6/21 9:50,555,computer-and-internet-info,0,33088515054,0x0,172.16.0.0-172.31.255.255,United States,0,152,268,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.29.30,202.248.202.120,61.206.169.146,202.248.202.120,trust3_GoogleMeet,,,ssl,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,114213,1,57820,443,64871,443,0x400053,tcp,allow,10288,1644,8644,24,2021/6/21 9:59,1,computer-and-internet-info,0,33088515053,0x0,192.168.0.0-192.168.255.255,Japan,0,13,11,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.190.220,172.217.31.170,61.206.169.146,172.217.31.170,trust3_GoogleMeet,,,google-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,219804,1,58913,443,20341,443,0x400053,tcp,allow,3367,1566,1801,29,2021/6/21 9:54,316,computer-and-internet-info,0,33088515052,0x0,192.168.0.0-192.168.255.255,United States,0,15,14,tcp-rst-from-client,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.16.1.230,192.168.7.19,,,id_288,,,dns,vsys1,trust6,trust3,ethernet1/6,ethernet1/3,nri-Log-Forwarding-Profile,2021/6/21 9:59,174438,1,58168,53,0,0,0x19,udp,allow,336,336,0,4,2021/6/21 9:59,7,any,0,33088515051,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,4,0,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.16.1.230,192.168.7.18,,,id_288,,,dns,vsys1,trust6,trust3,ethernet1/6,ethernet1/3,nri-Log-Forwarding-Profile,2021/6/21 9:59,27449,1,58168,53,0,0,0x19,udp,allow,252,252,0,3,2021/6/21 9:59,8,any,0,33088515050,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,3,0,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.205.81,216.239.32.116,61.206.169.146,216.239.32.116,trust3_GoogleMeet,,,ssl,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,159480,1,62760,443,60616,443,0x400053,tcp,allow,6766,3077,3689,48,2021/6/21 9:55,240,computer-and-internet-info,0,33088515049,0x0,172.16.0.0-172.31.255.255,United States,0,23,25,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.81.34,23.197.56.136,61.206.169.146,23.197.56.136,trust3_GoogleMeet,,,web-browsing,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,227320,1,55214,80,34186,80,0x40001c,tcp,allow,1090,587,503,10,2021/6/21 9:58,60,computer-and-internet-info,0,33088515048,0x0,192.168.0.0-192.168.255.255,Japan,0,6,4,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
